OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
235,2,2,5,2,2,2,4,1,2,1,10107,0,1,2023,3,4,4,3,1,1,2,1,1,2,3
236,3,4,7,4,4,4,6,3,2,1,10107,1,1,2023,1,3,4,3,0,0,0,1,6,1,5
237,2,3,6,3,3,3,5,2,2,1,10108,1,1,2023,1,2,4,3,1,1,2,1,1,1,3
238,3,5,9,6,6,6,8,5,2,1,10108,2,1,2023,1,1,4,1,0,0,0,1,6,1,5
239,3,4,7,4,4,4,6,2,2,1,10109,0,1,2023,3,4,4,2,1,2,3,1,1,3,1
240,5,6,13,8,10,10,12,7,3,1,10109,1,1,2023,1,3,4,3,0,0,0,1,6,1,5
241,3,5,9,6,6,6,8,4,2,1,10110,1,1,2023,1,4,1,1,1,1,2,1,1,1,3
242,4,5,10,6,7,7,9,6,2,1,10111,1,1,2023,1,1,4,1,1,1,2,1,1,1,1
243,1,1,4,1,1,1,3,1,1,1,10111,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
244,1,1,4,1,1,2,3,1,1,1,10111,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
245,1,1,3,1,1,1,3,1,1,1,10111,1,4,2023,2,1,4,3,0,0,0,1,6,1,5
246,3,5,9,6,6,6,8,4,2,1,10111,2,1,2023,1,3,4,1,1,2,3,1,1,1,1
247,3,5,9,6,6,6,8,4,2,1,10112,1,1,2023,1,2,4,3,1,2,3,1,1,1,1
248,3,4,7,4,4,4,6,3,2,1,10113,1,1,2023,1,2,4,2,1,2,3,2,1,1,1
249,4,5,11,7,8,8,10,6,2,1,10114,1,1,2023,1,3,4,3,0,0,0,1,6,1,5
250,4,5,11,7,8,8,10,6,2,1,10114,1,2,2023,2,2,4,3,1,1,2,1,1,1,3
251,3,5,9,6,6,6,8,5,2,1,10115,1,1,2023,1,1,4,1,1,1,2,1,1,1,3
252,3,5,9,6,6,6,8,5,2,1,10115,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
